epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1057.73,0.46043,0.39314,1.01746,0.99887,0.96875,0.97703,0.92064,0.35191,0.28569,0.96801,0.001307,0.001307,0.001307
44,1082.49,0.44274,0.35446,1.00409,0.97835,0.94129,0.97033,0.92032,0.34264,0.32341,0.98218,0.0012905,0.0012905,0.0012905
45,1106.61,0.44692,0.36175,1.0056,0.98879,0.96875,0.97048,0.94168,0.31093,0.25349,0.94025,0.001274,0.001274,0.001274
46,1137.45,0.47517,0.38464,1.03206,0.98891,0.96875,0.97655,0.9316,0.33665,0.28431,0.96353,0.0012575,0.0012575,0.0012575
47,1163.1,0.45431,0.37292,1.01583,1,0.95512,0.97208,0.9022,0.38748,0.34074,1.0084,0.001241,0.001241,0.001241
48,1191.6,0.46636,0.37335,1.02131,0.98921,0.9554,0.97503,0.91839,0.33833,0.30327,0.97246,0.0012245,0.0012245,0.0012245
49,1215.96,0.44479,0.35398,1.00479,0.99799,0.95833,0.97647,0.92275,0.33168,0.25807,0.96897,0.001208,0.001208,0.001208
50,1241.44,0.43216,0.34505,0.99581,0.99268,0.95833,0.9711,0.93341,0.29812,0.27908,0.92404,0.0011915,0.0011915,0.0011915
51,1265.39,0.43961,0.35894,1.00264,0.98922,0.95616,0.97369,0.88483,0.41155,0.3675,1.06882,0.001175,0.001175,0.001175
52,1289.72,0.44471,0.35578,1.0055,0.98832,0.96875,0.97723,0.92723,0.33246,0.25572,0.96618,0.0011585,0.0011585,0.0011585
53,1314.25,0.42018,0.34649,0.99209,1,0.96658,0.97373,0.9382,0.28861,0.27923,0.9244,0.001142,0.001142,0.001142
54,1338.1,0.43336,0.3567,0.99839,0.99832,0.96875,0.9721,0.94693,0.28009,0.24533,0.9145,0.0011255,0.0011255,0.0011255
55,1363.68,0.42572,0.3515,0.99103,0.985,0.95833,0.96675,0.9338,0.31058,0.29997,0.95133,0.001109,0.001109,0.001109
56,1387.94,0.43755,0.34591,1.01047,1,0.96804,0.9734,0.94378,0.27215,0.26002,0.91419,0.0010925,0.0010925,0.0010925
57,1412.35,0.41804,0.33898,0.99015,0.99906,0.96875,0.97178,0.9383,0.29047,0.24555,0.9114,0.001076,0.001076,0.001076
58,1437.75,0.42299,0.3448,0.99247,0.997,0.96875,0.96958,0.93727,0.30433,0.25295,0.93353,0.0010595,0.0010595,0.0010595
59,1461.76,0.41504,0.32476,0.98293,0.98935,0.96767,0.97561,0.94919,0.27409,0.22807,0.91573,0.001043,0.001043,0.001043
60,1487.36,0.41458,0.32693,0.99696,1,0.97786,0.97797,0.94311,0.31893,0.24665,0.95154,0.0010265,0.0010265,0.0010265
61,1512.75,0.41759,0.32873,0.9829,0.99812,0.96875,0.97667,0.93891,0.29507,0.25106,0.92877,0.00101,0.00101,0.00101
62,1537.13,0.421,0.34188,1.00953,0.98734,0.96875,0.97751,0.93325,0.29955,0.25066,0.95708,0.0009935,0.0009935,0.0009935
63,1561.14,0.40555,0.31508,0.98481,0.98695,0.96875,0.9713,0.93937,0.30358,0.25235,0.93853,0.000977,0.000977,0.000977
64,1585.14,0.41228,0.33847,0.99166,1,0.96729,0.97529,0.92671,0.31162,0.25323,0.95502,0.0009605,0.0009605,0.0009605
65,1609.69,0.40437,0.32236,0.97832,0.97893,0.96782,0.97645,0.94772,0.2737,0.23236,0.91367,0.000944,0.000944,0.000944
66,1633.49,0.39655,0.30983,0.98655,0.99843,0.96875,0.97882,0.9499,0.28244,0.21945,0.92258,0.0009275,0.0009275,0.0009275
67,1658.78,0.4139,0.31965,0.9855,0.99853,0.96875,0.97673,0.94884,0.26361,0.2322,0.9067,0.000911,0.000911,0.000911
68,1682.44,0.40607,0.33045,0.98462,0.98744,0.96875,0.97682,0.94673,0.27407,0.21759,0.92023,0.0008945,0.0008945,0.0008945
69,1706.6,0.39657,0.31718,0.98032,0.98935,0.96803,0.97859,0.94369,0.26259,0.22312,0.90587,0.000878,0.000878,0.000878
70,1730.8,0.38668,0.30306,0.97198,0.99835,0.96875,0.97628,0.94559,0.2686,0.21833,0.91194,0.0008615,0.0008615,0.0008615
71,1754.48,0.38988,0.31139,0.97673,0.99808,0.96875,0.97631,0.94793,0.27245,0.22402,0.90592,0.000845,0.000845,0.000845
72,1778.8,0.39889,0.31219,0.97635,0.98808,0.96875,0.97717,0.94829,0.27146,0.23857,0.90916,0.0008285,0.0008285,0.0008285
73,1803.26,0.37965,0.29314,0.96689,0.99712,0.96875,0.9718,0.94874,0.23685,0.20208,0.88943,0.000812,0.000812,0.000812
74,1827.47,0.39086,0.30501,0.98301,0.99806,0.96875,0.97842,0.95476,0.26082,0.20735,0.90815,0.0007955,0.0007955,0.0007955
75,1852.75,0.37931,0.30556,0.96926,0.98858,0.96875,0.97761,0.95624,0.26296,0.22961,0.90264,0.000779,0.000779,0.000779
76,1877.75,0.37507,0.29647,0.96357,0.98803,0.96875,0.9756,0.95663,0.24517,0.2179,0.88955,0.0007625,0.0007625,0.0007625
77,1903.31,0.37723,0.2832,0.97344,1,0.96839,0.9779,0.94128,0.27431,0.24129,0.91072,0.000746,0.000746,0.000746
78,1927.25,0.38572,0.31078,0.97574,1,0.96863,0.97617,0.94487,0.2563,0.21965,0.89943,0.0007295,0.0007295,0.0007295
79,1951.69,0.3721,0.29682,0.96684,0.98845,0.96875,0.97301,0.94765,0.25656,0.21402,0.90375,0.000713,0.000713,0.000713
80,1975.77,0.37462,0.28473,0.97139,0.9883,0.96875,0.97751,0.9512,0.23938,0.1949,0.87815,0.0006965,0.0006965,0.0006965
81,1999.76,0.36491,0.26845,0.96195,0.99904,0.96875,0.97851,0.95436,0.24406,0.19455,0.89025,0.00068,0.00068,0.00068
82,2023.86,0.36757,0.28395,0.96752,0.9992,0.96875,0.96954,0.94904,0.23547,0.19838,0.87421,0.0006635,0.0006635,0.0006635
83,2048.57,0.3681,0.2834,0.97044,0.99879,0.96875,0.97324,0.95148,0.23581,0.19627,0.88031,0.000647,0.000647,0.000647
84,2072.85,0.36387,0.2767,0.95933,1,0.96818,0.97455,0.95353,0.25259,0.2089,0.90627,0.0006305,0.0006305,0.0006305
85,2096.82,0.36497,0.27568,0.96608,1,0.9665,0.97458,0.94954,0.25186,0.20991,0.89053,0.000614,0.000614,0.000614
86,2120.92,0.36327,0.28531,0.95506,0.98936,0.96816,0.97366,0.95616,0.24227,0.21012,0.89231,0.0005975,0.0005975,0.0005975
87,2145.06,0.35208,0.27522,0.96826,0.9992,0.96875,0.97857,0.95709,0.23275,0.19256,0.89302,0.000581,0.000581,0.000581
88,2169.81,0.33964,0.26156,0.95241,0.99978,0.96875,0.97418,0.94318,0.2525,0.20958,0.90433,0.0005645,0.0005645,0.0005645
89,2194.29,0.35985,0.26527,0.96444,0.99942,0.96875,0.97515,0.95341,0.23261,0.18354,0.89241,0.000548,0.000548,0.000548
90,2218.44,0.37337,0.28741,0.96512,0.98855,0.96875,0.97067,0.94814,0.25556,0.21056,0.90649,0.0005315,0.0005315,0.0005315
91,2242.43,0.35874,0.27714,0.97214,0.98863,0.96875,0.9771,0.94555,0.2572,0.21542,0.9152,0.000515,0.000515,0.000515
